artist,mini,kb,volume,surface_area,bbox_x,bbox_y,bbox_z,bbox_area,mass,euler_number,scale,weight,base_mm
1,1566,57773.03125,26671.4841620408,62721.7385915598,51.1327342987061,63.8318004608154,63.7338780211285,208020.653476093,26671.4841620408,4579,103.687330347268,26.895716,50.0
0,2114,3795.78515625,279.38030489886427,1028.5520656951314,12.984999656677246,10.73859977722168,12.474300384521484,1739.425357512569,279.38030489886427,149,20.965111765562487,0.24178626,50.0
0,2115,20591.1953125,12494.153312437054,27990.72531443248,60.52879905700684,23.654199600219727,47.15520095825195,67514.94440912014,12494.153312437054,3264,80.29240095690048,11.66883,50.0
0,10,30708.96875,6960.442343792698,22507.57036745586,47.55189895629883,35.269100189208984,38.41320037841797,64423.26575964834,6960.442343792698,3855,70.5738371198492,6.1658287,30.0
1,299,26519.80859375,3515.3839044120964,8609.005975907334,28.039989471435547,26.60091781616211,26.89653861988336,20061.844545904078,3515.3839044120964,1412,47.08793505720233,3.588529,25.0
1,117,89510.3359375,44507.13146884252,112720.75782045622,94.2569808959961,59.59547424316406,66.51671874988824,373643.6642933314,44507.13146884252,10381,129.8478835836285,44.64613,75.0
1,2290,62244.80859375,40022.51577155335,101554.15672475712,101.16372680664062,33.13348865509033,86.12694061268121,288689.5118760003,40022.51577155335,10022,136.92982725164717,39.587055,75.0
1,120,51954.57421875,5632.535364006189,16770.14549305932,34.605838775634766,24.418798446655277,60.28228271473199,50940.5183382625,5632.535364006189,2055,73.6735733098543,5.7515087,75.0
1,120,51340.8046875,3019.4602316970986,7079.999944388117,20.395934104919437,27.23236083984375,24.42817008960992,13568.124764962751,3019.4602316970986,1614,41.884735869414094,3.0245411,75.0
1,2201,25076.05859375,7194.250965174353,16232.93627194988,40.21612739562988,48.01397514343262,34.599159240722656,66808.76703093106,7194.250965174353,1546,71.55264168387204,6.9774294,30.0
0,1452,9737.97265625,2327.851353184616,7961.53259881612,35.2470817565918,19.31807518005371,51.85518730878829,35308.49651529393,2327.851353184616,1566,65.60872847302858,2.1974368,30.0
0,1745,30079.8671875,5975.5564561835645,18858.040274440147,36.094459533691406,34.44648742675781,39.5747265934944,49204.33980406792,5975.5564561835645,3557,63.68303926494796,5.694772,58.0
0,245,33702.9140625,39861.32659991611,79881.17983714551,58.428070068359375,86.12368392944336,78.85768127441406,396815.0568839415,39861.32659991611,3238,130.5743550681712,35.325344,75.0
0,1875,2871.2734375,1673.517583203541,5441.114745072667,21.53672790527344,13.325732231140137,21.29051971435547,6110.223081490817,1673.517583203541,299,33.08613029759131,0.73401105,30.0
0,2018,3960.62890625,1760.465363276748,4424.801721213631,15.066092491149902,21.342723846435547,29.81553649902344,9587.22903801932,1760.465363276748,173,39.64171061977133,1.153594,
0,2018,2528.79296875,1473.8119920142356,4334.204810137347,14.85622215270996,25.61397361755371,18.88543128967285,7186.4142890973935,1473.8119920142356,180,35.120399999549576,0.7366096,
0,2018,4754.28125,3100.2716315704693,9434.448177052083,47.28802108764648,17.302048683166504,14.835783004760742,12138.335642298363,3100.2716315704693,406,52.49398331604023,1.3072554,
0,1878,3916.78125,871.222561500934,2915.661973805696,20.94881248474121,11.87278175354004,30.13995742797852,7496.430665280745,871.222561500934,73,38.57761948135732,0.55191964,30.0
2,1496,8465.21875,2589.171668275749,5196.954388624912,22.20039415359497,27.734549522399902,33.942286376841366,20898.874343723248,2589.171668275749,503,49.13391437971269,2.6537452,25.0
2,1011,33271.6640625,8162.036205841203,13648.868448200948,36.169363021850586,38.0551233291626,42.41276824939996,58378.18838667021,8162.036205841203,1219,67.49265251552569,8.558351,100.0
2,896,63819.7109375,2742.016940669297,5624.180190123941,32.118844985961914,29.331037521362305,35.02573287952691,32997.00906654464,2742.016940669297,756,55.84560796571013,2.8609524,75.0
2,1010,65327.62109375,3615.8292168553926,10469.427719116566,23.03581714630127,44.10626983642578,72.2320660399273,73389.51027941059,3615.8292168553926,510,87.71250352645197,3.7252262,100.0
0,13,4034.45703125,270.54451697327,1168.8036685075483,12.456499576568604,12.198699951171877,12.889599800109863,1958.6146573943315,270.54451697327,319,21.6821227098909,0.23090036,30.0
0,2276,5620.19921875,3976.526722105424,10742.413596948143,32.54640007019043,23.66189956665039,25.138500213623047,19359.401593920684,3976.526722105424,1193,47.44573575803697,3.463648,30.0
0,2116,4079.37890625,277.42364276652955,1383.0647112693143,19.259900093078613,8.789999961853027,22.914600372314453,3879.316295849715,277.42364276652955,331,31.19754415250693,0.23490632,
0,15,4085.43359375,395.19672464321326,1741.1257926410274,18.171299934387207,10.97070026397705,20.40069961547852,4066.917923398961,395.19672464321326,315,29.44046450700926,0.31609026,30.0
0,10,29197.640625,4625.348233540857,15199.570552928772,33.30139923095703,32.791799545288086,39.91519927978516,43587.90885375042,4625.348233540857,2880,61.46143865630631,4.168666,30.0
0,2113,3760.43359375,215.7894373880736,754.6363621956764,10.196900367736816,10.478800296783447,13.051899909973145,1394.6122457436934,215.7894373880736,135,19.599339887592567,0.18838318,50.0
0,2113,4378.98828125,659.2458635133421,2828.5664411825014,18.191500663757324,11.259099960327148,23.487499237060547,4810.707818117411,659.2458635133421,517,31.770436709731293,0.49558526,50.0
0,1906,17768.1484375,7974.606640640059,19421.551362802074,37.788700103759766,43.0,63.8650016784668,103775.14200880892,7974.606640640059,1618,85.76551926574257,7.5879498,60.0
0,1906,32351.83984375,10585.927739422994,30672.10234260262,40.07500076293945,35.99209976196289,40.289398193359375,58112.76017426642,10585.927739422994,4460,67.26568618699847,9.098681,60.0
1,1710,22580.2578125,3115.884573419964,6672.106651968592,25.71512508392334,25.717424392700195,26.767493133433163,17702.06017897585,3115.884573419964,933,45.15697359350454,3.1190655,25.0
1,117,90619.41796875,48278.09887629619,126257.97981769608,93.75440979003906,65.2507438659668,71.65816772449762,438372.0642042248,48278.09887629619,11239,134.8422853995467,47.88528,75.0
1,257,69015.0234375,36052.681157407205,84236.51016730978,76.13279724121094,64.57967758178711,77.63737762439996,381714.3763462806,36052.681157407205,13987,126.46857307937256,36.442894,75.0
1,119,231686.3125,84888.84092880115,247079.4600777332,106.46070861816406,55.96036911010742,124.40841186512262,741173.134783553,84888.84092880115,37664,173.04016393087207,82.95236,75.0
1,119,89049.984375,45637.259436530745,111639.12998016475,96.98682022094728,65.81651878356934,61.47762954700738,392432.2967093307,45637.259436530745,10168,132.35466133112712,45.984524,75.0
1,119,92677.1328125,48689.6366570647,129322.58913269856,105.7548599243164,68.06410217285156,70.92439544666559,510521.5711121715,48689.6366570647,12337,144.3851871615754,48.491283,75.0
1,1257,30907.015625,2011.9607262927664,6071.944865510816,30.62373161315918,25.38494110107422,19.49230278003961,15152.957976907765,2011.9607262927664,1035,44.29625311793936,1.9797108,25.0
1,9,53834.1640625,3825.732785409237,16821.801758123107,28.369354248046875,27.536255836486816,46.284232025034726,36156.584659411325,3825.732785409237,3328,60.87114078190814,3.3735478,25.0
